user_id,user_key,created_at,created_str,retweet_count,retweeted,favorite_count,label,text,tweet_id,source,hashtags,expanded_urls,posted,mentions,retweeted_status_id,in_reply_to_status_id
2951556370,specialaffair,1471623535000,2016-08-19 16:18:55,0,FALSE,0,1,"RT @chiefplan1: Debate watch:
Notice how, w/every lie Delusional Donnie tells, bags under his eyes get bigger--fuller of baggage--&amp; his eye…",766670792562122752,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","[""TopVideo""]","[""http://bit.ly/2bPEptB""]",POSTED,[],,
2531159968,traceyhappymom,1501751297000,2017-08-03 09:08:17,,,,0,Blue Man Droop #DumberBroadway @midnight,893035784193937408,,"[""MakeTVShowsCanadian""]",[],POSTED,[],,
1646999972,hollandpatrickk,1454503331000,2016-02-03 12:42:11,,,,1,RT @theolcaper: #ProbableTrumpsTweets I'm not only a client I'm the U.S. President,694863453782155264,,[],[],POSTED,[],698931283221737472,
1657753759,johnbranchh,1456766426000,2016-02-29 17:20:26,,,,0,Burned coal is better than no coal!!  #SecondhandGifts,704355559118602240,,[],[],POSTED,[],,
1833223908,dorothiebell,1469821491000,2016-07-29 19:44:51,,,,0,#HappyBirthdayHarryTruman He had guts to drop the bomb,759112471105957888,,"[""tcot""]",[],POSTED,[],,
2589353987,cassieweltch,1479999899000,2016-11-24 15:04:59,,,,1,"RT @MkSpeaksHisMind: That @TheDemocrats reject Gen 1:27 to its face, via their policies, should lose them *every* Christian's vote. #ccot h…",801803808854646784,,"[""SingleSurvivalTips""]",[],POSTED,[],,
3070151882,entatjanamax,1468923706000,2016-07-19 10:21:46,0,FALSE,0,0,NBC Nightly Huey Lewis and the News #AddABandToATVShow,755346889604726785,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[""canicule"",""Nice""]","[""http://snpy.tv/2acRJXK"",""http://snpy.tv/2acRJXK""]",POSTED,"[""franceinfo""]",755346745198981120,
1660771422,garrettsimpson_,1483913654000,2017-01-08 22:14:14,,,,0,RT @cvpayne: I guess that 90% tax rate didn't work...kinda of surprised.  Not! https://t.co/vq2sLZwHXt,818219285336248320,,[],[],POSTED,[],,
3080829096,richmondvoice,1473887044000,2016-09-14 21:04:04,0,FALSE,0,0,RT @tlamb775: https://t.co/HLAdjCm5vO,776164636693450753,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>",[],"[""https://twibble.io"",""http://www.huffingtonpost.com/2016/09/14/colin-powell-donald-trump_n_12007700.html?utm_hp_ref=black-voices&ir=Black+Voices""]",POSTED,[],,
1660771422,garrettsimpson_,1477946305000,2016-10-31 20:38:25,0,FALSE,0,1,No more corrupt politicians. Clintons must be the first to jail next to Obama #RiggedSystem https://t.co/DcvdqMklBe,793190411456045056,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[""GoHillary"",""HillarysEmails"",""HillaryForPrison""]",[],POSTED,"[""mikemccroskey""]",793187512319635456,
